uid,name,six_symbol,isin,lei,street,zip,city,lon,lat,geocode_query,seat_basis,noga_group,consolidation_basis,revenue,revenue_currency,revenue_type,revenue_unit,profit,profit_currency,profit_unit,core_products,products_url,founding_year,founding_year_source,employees,fiscal_year,report_url,note,researched
CHE-102.443.567,Siegfried Holding AG,SFZN,CH1429326825,506700J9QD6IF3937W06,Untere Brühlstrasse 4,4800,Zofingen,7.939111,47.288231,Untere Brühlstrasse 4 4800 Zofingen,hq,industrie,total_group,1327.8,CHF,net_sales,1000000,168.659,CHF,1000000,Pharmazeutische Wirkstoffe (Drug Substances) und Fertigprodukte (Drug Products) im Auftrag der Pharmaindustrie.,,1873,https://www.siegfried.ch/company/history/,3891,2025,https://www.siegfried.ch/app/uploads/2026/02/Siegfried_2025_AR_Financial_Report_EN.pdf,,yes
CHE-100.707.011,Zehnder Group AG,ZEHN,CH0276534614,8945000LUWFSSFRPU761,Moortalstrasse 1,5722,Gränichen,8.106647,47.353355,Moortalstrasse 1 5722 Gränichen,hq,industrie,total_group,760.7,EUR,net_sales,1000000,46.3,EUR,1000000,"Lüftungs-, Heizkörper- und Heiz-/Kühldeckensysteme für ein gesundes Raumklima.",https://www.zehndergroup.com/en,1895,https://www.zehndergroup.com/en/company/about-us/our-history,3636,2025,https://report.zehndergroup.com/2025/app/uploads/Integrated-Annual-Report-2025.pdf,"Mitarbeitende als Vollzeitäquivalente im Jahresdurchschnitt gemäss Geschäftsbericht. Reingewinn wurde zunächst aus dem HTML-Spiegel des Berichts gelesen (report.zehndergroup.com/2025/consolidated-income-statement), weil das PDF unter report_url beim ersten Abruf die Grössenlimite überschritt; inzwischen direkt im PDF bestätigt (report_url, S. 88, Konsolidierte Erfolgsrechnung, Zeile ""shareholders of Zehnder Group AG"").",yes
CHE-105.949.219,naturenergie holding AG,NEAG,CH0039651184,529900B5RUD2Z4UYFD31,Baslerstrasse 44,5080,Laufenburg,8.051362,47.555576,Baslerstrasse 44 5080 Laufenburg,hq,industrie,total_group,1557.7,EUR,net_sales,1000000,186.9,EUR,1000000,"Strom aus eigenen Wasserkraftwerken am Hochrhein, im Südschwarzwald und im Wallis, dazu Photovoltaik, Wärme und Netzbetrieb.",https://www.naturenergie-holding.ch/ueber-uns,1894,https://www.naturenergie-holding.ch/ueber-uns,1413,2025,https://www.naturenergie-holding.ch/fileadmin/energiedienst/Dokumente/Unternehmen/Geschaeftsbericht/GB_HJB_2025/naturenergie_Condensed_Report_2025_en_WEB.pdf,"Umsatz = Konzernkennzahl ""Net revenue from goods and services"" aus dem Condensed Report 2025; Mitarbeitende = ""Total number of employees"" (Headcount per 31.12.2025). Reingewinn EUR 186.9 Mio. stammt aus dem vollständigen Geschäftsbericht 2025 (naturenergie_Geschaeftsbericht_2025.pdf, im selben Ordner wie der zitierte Condensed Report), S. 133 (gedruckte Seitenzahl), Konsolidierte Erfolgsrechnung: ""Jahresgewinn"" 188.2, davon ""neh-Aktionärinnen und -Aktionäre"" 186.9, ""Minderheitsanteile"" 1.3 — der zuvor zitierte Condensed Report zeigt nur die ungeteilte Summe. Gründungsjahr 1894 bezieht sich auf die Vorgängergesellschaft Kraftübertragungswerke Rheinfelden AG; die heutige naturenergie holding AG entstand 2002 durch Fusion mit der Kraftwerk Laufenburg AG, aktueller Name seit 2024.",yes
CHE-112.235.208,Dottikon ES Holding AG,DESN,CH0582581713,50670064H782SV8G2Z44,Hembrunnstrasse 17,5605,Dottikon,8.238302,47.37323,Hembrunnstrasse 17 5605 Dottikon,hq,industrie,total_group,385.2,CHF,net_sales,1000000,105.578,CHF,1000000,"Veredelungschemikalien, Zwischenprodukte und Exklusivwirkstoffe für die chemische, Biotech- und pharmazeutische Industrie.",https://dottikon.com/de/about-us/overview/?switchLang=de,1913,https://dottikon.com/dottikon-es-de/about-us/history/,793,2025,https://dottikon.com/en/documents/investors/financial-reports/en/annual_report_2024_25/,"Geschäftsjahr 2024/25 (April 2024 - März 2025). Mitarbeitende als Vollzeitäquivalente im Jahresdurchschnitt (793); Headcount am Stichtag rund 860 gemäss Bericht. Reingewinn CHF 105.578 Mio. ist der Konzern-Reingewinn; das unkonsolidierte, für die Dividende massgebliche Jahresergebnis der Holding AG allein betrug CHF 8.861 Mio. Gegründet 1913 als Schweizerische Sprengstoff-Fabrik AG, mehrfach umbenannt (1989 Ems-Dottikon AG, 2005 Dottikon Exclusive Synthesis AG).",yes
CHE-248.340.671,Montana Aerospace AG,AERO,CH1110425654,506700YRG9330Q97U450,Alzbachstrasse 27,5734,Reinach,8.174534,47.257011,Alzbachstrasse 27 5734 Reinach AG,hq,industrie,total_group,1504.981,EUR,net_sales,1000000,-3.071,EUR,1000000,Strukturbauteile für die Luftfahrt (Aerostructures) sowie Präzisionskomponenten für die Stahl- und Automobilindustrie (Alpine Metal Tech).,,2019,https://www.montana-aerospace.com/wp-content/uploads/2026/04/2025_Y_montana_aerospace_vF_signed-1.pdf,6346,2025,https://www.montana-aerospace.com/wp-content/uploads/2026/04/2025_Y_montana_aerospace_vF_signed-1.pdf,"Umsatz und Reingewinn beziehen sich beide auf den Gesamtkonzern (consolidation_basis = total_group), inklusive der per 25.9.2025 verkauften Energiesparte: Umsatz = fortgeführte Geschäfte (Aerostructures, Alpine Metal Tech; EUR 979.331 Mio., Anhang 5.3 Segmentberichterstattung) plus Energiesparte bis Verkaufsdatum (EUR 525.650 Mio., Anhang 23.1.1) = EUR 1'504.981 Mio. — der Bericht selbst weist keine einzelne Zeile mit dieser Summe aus, beide Teilbeträge stehen aber im selben geprüften Anhang. Reingewinn EUR -3.071 Mio. (Verlust) ist bereits die Gesamtkonzernzahl auf die Aktionäre entfallend, S. 134; eine Zahl nur für die fortgeführten Geschäfte weist der Bericht nicht als eigene Zeile aus (Anhang 15.2 nennt dafür nur das Ergebnis je Aktie, EUR 0.18, keinen Reingewinn-Betrag — daraus zurückzurechnen wäre eine Schätzung, keine gemeldete Zahl, deshalb nicht verwendet). Frühere Fassung dieser Zeile kombinierte fälschlich die Umsatzzahl der fortgeführten Geschäfte mit dem Gesamtkonzern-Reingewinn; korrigiert im Sourcing-Review vom 14.8.2026. Montana Aerospace AG wurde 2019 als Holding gegründet; die operativen Geschäftsbereiche Aerostructures und Alpine Metal Tech sind teils älter, die E-Mobility-Sparte wurde bereits 2024 verkauft.",yes
CHE-270.303.139,Accelleron Industries AG,ACLN,CH1169360919,254900KS0MD2PAARXD14,Bruggerstrasse 71a,5400,Baden,8.302003,47.479832,Bruggerstrasse 71a 5400 Baden,hq,industrie,total_group,1263.1,USD,net_sales,1000000,232.930,USD,1000000,Turbolader und Einspritzsysteme für Grossmotoren in Schifffahrt und Energieerzeugung.,,2021,https://www.zefix.ch,3200,2025,https://accelleron.com/content/dam/accelleronind/documents/investors/accelleron-annual-report-2025.pdf,"Mitarbeitende gemäss Unternehmensangabe ""über 3200"" (Jahresbericht S. 51); keine exakte Stichtagszahl veröffentlicht. Mitarbeitende gemäss Unternehmensangabe ""über 3200"" (Jahresbericht S. 51); keine exakte Stichtagszahl veröffentlicht. Gründungsjahr laut Zefix (CHE-270.303.139): Neueintragung als ""Turbo Systems Holding AG"" am 26.5.2021 (Statutendatum 18.5.2021, SHAB-Publikation 31.5.2021), umbenannt in Accelleron Industries AG am 10.2.2022, vor der Abspaltung von ABB im Oktober 2022 — die Rechtseinheit selbst ist damit älter als der Börsengang.",yes
CHE-441.853.769,DSM-Firmenich AG,DSFIR,CH1216478797,506700G44V67MPM4BI12,Wurmisweg 576,4303,Kaiseraugst,7.740992,47.539654,Wurmisweg 576 4303 Kaiseraugst,hq,industrie,continuing_operations,9034,EUR,net_sales,1000000,340,EUR,1000000,"Nährstoffe, Aromen und Duftstoffe für Ernährung, Gesundheit und Körperpflege.",,2022,https://www.zefix.ch,28550,2025,https://www.dsm-firmenich.com/content/dam/dsm-firmenich/investors/documents/results-center/2026/press-release-dsm-firmenich-full-year-2025-report.pdf,"Umsatz = ""Net sales"" der fortgeführten Geschäfte (Continuing Operations), FY2025 EUR 9034 Mio. — die Tierernährungssparte Animal Nutrition & Health ist zur Veräusserung klassiert und hier nicht enthalten. Inkl. dieser Sparte (""Sales total Group"") betrug der Konzernumsatz EUR 12521 Mio. Reingewinn folgt demselben Massstab wie der Umsatz: EUR 340 Mio. ist der auf die Aktionäre entfallende Gewinn der fortgeführten Geschäfte (Continuing Operations). Inklusive der zur Veräusserung klassierten Tierernährungssparte verzeichnete der Konzern einen Verlust von EUR -1081 Mio. (auf die Aktionäre entfallend), vor allem wegen einer Wertminderung von rund EUR 1.9 Mrd. im Zusammenhang mit deren angekündigtem Verkauf. Die Rechtseinheit DSM-Firmenich AG (CHE-441.853.769) wurde laut Zefix am 16. Mai 2022 als ""Danube AG"" gegründet und am 18. April 2023 umbenannt — nicht zu verwechseln mit der Unternehmens-geschichte von DSM (gegr. 1902) oder Firmenich (gegr. 1895).",yes
CHE-105.779.532,Hypothekarbank Lenzburg AG,HBLN,CH0001341608,529900K3915OW75BQR33,Bahnhofstrasse 2,5600,Lenzburg,8.178392,47.387981,Bahnhofstrasse 2 5600 Lenzburg,hq,finanz,total_group,137.058,CHF,operating_income,1000000,20.025,CHF,1000000,"Hypothekar- und Kommerzialkreditgeschäft sowie Spar- und Anlageprodukte für Privat- und Firmenkunden, dazu Banking-as-a-Service für digitale Drittanbieter.",https://www.hbl.ch/de/ueber-uns/,1868,https://www.hbl.ch/de/ueber-uns/,502,2025,https://www.hbl.ch/media/rpnbhmnk/2025_geschaefstbericht.pdf,"Banken weisen keinen Umsatz im klassischen Sinn aus; als Näherung dient der konsolidierte Geschäftsertrag (Konzern; erstmals 2025 inkl. Swiss Bankers Prepaid Services AG). Mitarbeitende: Konzern, teilzeitbereinigt ohne Lernende. Der Reingewinn ist — anders als der Geschäftsertrag — grundsätzlich branchenübergreifend vergleichbar (ein gewöhnlicher Gewinn nach Steuern), enthält aber mit der ""Veränderung von Reserven für allgemeine Bankrisiken"" (FY2025: CHF -2.35 Mio., direkt vor Steuern in der Erfolgsrechnung) ein bankspezifisches, ermessensabhängiges Glättungselement, das ein Industrieunternehmen so nicht kennt — vertretbar vergleichbar, nicht identisch definiert. Konzerngewinn FY2025 praktisch deckungsgleich mit dem Stammhausergebnis von CHF 20.007 Mio., dem ersten Jahr mit Konzernrechnung.",yes
CHE-101.049.653,ABB Ltd,ABBN,CH0012221716,5493000LKVGOO9PELI61,Affolternstrasse 44,8050,Zurich,8.541531,47.411301,"Affolternstrasse 44, 8050 Zurich",hq,industrie,continuing_operations,33220,USD,net_sales,1000000,4561,USD,1000000,"Elektrotechnische Ausrüstung und Automatisierungslösungen: Schaltanlagen und Niederspannungskomponenten (Elektrifizierung), Elektromotoren, Generatoren und Antriebe (Motion) sowie Prozessleitsysteme und industrielle Automatisierungslösungen für Industrie, Gebäude und Versorger.",https://new.abb.com/about/our-businesses,1988,"https://library.e.abb.com/public/b32991481e8b4418a5c5261c5ff25440/ABB%20Financial%20Report%202025.pdf (S. 3f., Abschnitt ""History of the ABB Group"")",111900,2025,https://library.e.abb.com/public/b32991481e8b4418a5c5261c5ff25440/ABB%20Financial%20Report%202025.pdf,"Umsatz (33'220) und Gewinn (4'561) beziehen sich beide auf das fortgeführte Geschäft (continuing operations): Im Oktober 2025 vereinbarte ABB den Verkauf der Robotics-Division an SoftBank Group Corp.; deren Ergebnis wird für alle dargestellten Jahre als 'discontinued operations' separat ausgewiesen und ist in den 33'220 Mio. Umsatz NICHT enthalten. Als profit wurde bewusst 'Income from continuing operations, net of tax, attributable to ABB shareholders' (4'561) gewählt statt des ausgewiesenen Gesamt-'Net income attributable to ABB' von 4'734 (das zusätzlich 173 Mio. aus discontinued operations enthält), um denselben Konsolidierungskreis wie beim Umsatz zu wahren. Mitarbeitende: Gesamtzahl 111'900 per 31.12.2025 laut Aufschlüsselung nach Region; der Bericht spezifiziert nicht, ob Köpfe oder Vollzeitäquivalente gemeint sind.",yes
CHE-113.514.094,Addex Therapeutics Ltd,ADXN,CH0029850754,89450068Y9KVP2MQGH86,"c/o Addex Pharma SA, Chemin des Aulx 12",1228,Plan-Les-Ouates,6.104361,46.168903,"c/o Addex Pharma SA, Chemin des Aulx 12, 1228 Plan-Les-Ouates",hq,,,,,,,,,,,,,,,,,,no
